district,state,flood_event_count,avg_flood_duration,max_flood_duration,median_flood_duration,std_flood_duration,total_area_affected,avg_area_affected,total_human_fatalities,total_human_injuries,total_human_displaced,total_animal_fatalities,severe_event_count,percent_flooded_area,permanent_water,corrected_percent_flooded_area,population,impact_mean_flood_duration,impact_human_fatalities,impact_human_injuries,dfsi,risk_class
Ganderbal,JAMMU & KASHMIR,7,1.2857142857142858,3.0,1.0,0.7559289460184545,0.0,,3.0,4.0,1.0,40.0,0.0,1.994547665,0.499016366,1.495531299,559525.0,6.0,58.0,13.0,13.968864401256017,Moderate
Chhindwara,MADHYA PRADESH,25,4.16,14.0,2.0,4.268879634439618,0.0,,237.0,15.0,0.0,2000.0,0.0,0.626598635,0.382961008,0.243637627,2383077.0,5.0,33.0,6.0,13.955243811560596,Moderate
Sheikhpura,BIHAR,19,18.842105263157894,85.0,14.0,20.41857312975054,0.0,,2690.0,0.0,0.0,755.0,0.0,3.509671673,0.004092988,3.505578685,820089.0,28.0,82.0,0.0,13.952974381669137,Moderate
Hapur,UTTAR PRADESH,12,15.916666666666666,89.0,8.0,24.94159845185014,0.0,,1713.0,23.0,0.0,6940.0,0.0,1.533241589,0.006144137,1.527097452,1831968.0,28.0,58.0,1.0,13.946634127067115,Moderate
Morena,MADHYA PRADESH,14,4.071428571428571,14.0,3.5,3.6891584555139545,0.0,,202.0,0.0,0.0,2045.0,0.0,3.024035354,0.36602215,2.658013204,2318601.0,5.0,57.0,0.0,13.939282508437586,Moderate
Sabar Kantha,GUJARAT,27,16.37037037037037,120.0,7.0,23.847509381562336,0.0,,1220.0,15.0,0.0,1799.0,0.0,0.981927574,0.655214573,0.326713001,1581118.0,16.0,91.0,0.0,13.935683700651056,Moderate
East Siang,ARUNACHAL PRADESH,22,5.7727272727272725,17.0,5.5,5.172563315746967,0.0,,82.0,2031.0,2.0,16.0,0.0,3.916385666,1.35629866,2.560087006,86959.0,6.0,13.0,668.0,13.92916281791021,Moderate
Tehri Garhwal,UTTARAKHAND,18,1.2222222222222223,3.0,1.0,0.5483188805533162,0.0,,165.0,6.0,2.0,130.0,0.0,1.072103335,0.531062216,0.541041119,665938.0,2.0,102.0,6.0,13.928911332831516,Moderate
Chikkamagaluru,KARNATAKA,20,6.45,31.0,3.0,7.976775499437165,0.0,,646.0,58.0,50.0,9830.0,0.0,1.355001002,0.868566012,0.48643499,1168539.0,7.0,40.0,6.0,13.92807228565061,Moderate
Krishnagiri,TAMIL NADU,18,6.277777777777778,16.0,3.5,6.046929756258477,0.0,,747.0,156.0,0.0,9188.0,0.0,1.019903242,0.155619892,0.86428335,2151735.0,6.0,35.0,4.0,13.915616759115895,Moderate
